c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         69971                                                                   |
c |  Number of clauses:          135929                                                                   |
c |  Parse time:                   0.05 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |    19813        25      211 |   34099   130321   294444 |    55   260831     3500  3939164 | 51.267 % |
c |    19835        25      212 |   34099   130321   294444 |    55   270831     3506  3939164 | 51.267 % |
c |    19879        26      212 |   34099   130321   294444 |    55   280831     3509  3939164 | 51.267 % |
c |    19919        26      212 |   34099   130321   294444 |    56   146428     3510  4083567 | 51.267 % |
c |    19964        26      212 |   34099   130321   294444 |    56   156428     3511  4083567 | 51.267 % |
c |    20016        26      212 |   34099   130321   294444 |    56   166428     3513  4083567 | 51.267 % |
c |    20035        26      212 |   34099   130321   294444 |    56   176428     3514  4083567 | 51.267 % |
c |    20060        26      212 |   34099   130321   294444 |    56   186428     3518  4083567 | 51.267 % |
c |    20083        26      213 |   34099   130321   294444 |    56   196428     3524  4083567 | 51.267 % |
c |    20116        26      213 |   34099   130321   294444 |    56   206428     3528  4083567 | 51.267 % |
c |    20135        26      213 |   34099   130321   294444 |    56   216428     3529  4083567 | 51.267 % |
c |    20181        26      213 |   34099   130321   294444 |    56   226428     3530  4083567 | 51.267 % |
c |    20202        26      213 |   34099   130321   294444 |    56   236428     3536  4083567 | 51.267 % |
c |    20222        26      214 |   34099   130321   294444 |    56   246428     3537  4083567 | 51.267 % |
c |    20242        27      214 |   34099   130321   294444 |    56   256428     3541  4083567 | 51.267 % |
c |    20308        27      214 |   34099   130321   294444 |    56   266428     3543  4083567 | 51.267 % |
c |    20335        27      214 |   34099   130321   294444 |    56   276428     3547  4083567 | 51.267 % |
c |    20374        27      214 |   34099   130321   294444 |    56   286428     3549  4083567 | 51.267 % |
c |    20398        27      214 |   34099   130321   294444 |    57   149423     3552  4230572 | 51.267 % |
c |    20456        27      214 |   34099   130321   294444 |    57   159423     3556  4230572 | 51.267 % |
c |    20516        27      214 |   34099   130321   294444 |    57   169423     3559  4230572 | 51.267 % |
c |    20546        27      214 |   34099   130321   294444 |    57   179423     3560  4230572 | 51.267 % |
c |    20585        27      214 |   34099   130321   294444 |    57   189423     3563  4230572 | 51.267 % |
c |    20603        27      215 |   34099   130321   294444 |    57   199423     3566  4230572 | 51.267 % |
c |    20655        27      214 |   34099   130321   294444 |    57   209423     3568  4230572 | 51.267 % |
c |    20716        27      214 |   34099   130321   294444 |    57   219423     3571  4230572 | 51.267 % |
c |    20755        27      214 |   34099   130321   294444 |    57   229423     3573  4230572 | 51.267 % |
c |    20810        27      214 |   34099   130321   294444 |    57   239423     3576  4230572 | 51.267 % |
c |    20854        27      214 |   34099   130321   294444 |    57   249423     3580  4230572 | 51.267 % |
c |    20892        27      214 |   34099   130321   294444 |    57   259423     3583  4230572 | 51.267 % |
c |    20929        27      215 |   34099   130321   294444 |    57   269423     3583  4230572 | 51.267 % |
c |    20963        27      215 |   34099   130321   294444 |    57   279423     3588  4230572 | 51.267 % |
c |    21001        27      215 |   34099   130321   294444 |    57   289423     3590  4230572 | 51.267 % |
c |    21049        27      215 |   34099   130321   294444 |    58   149822     3593  4380173 | 51.267 % |
c |    21085        28      215 |   34099   130321   294444 |    58   159822     3595  4380173 | 51.267 % |
c |    21134        28      215 |   34099   130321   294444 |    58   169822     3595  4380173 | 51.267 % |
c |    21158        28      215 |   34099   130321   294444 |    58   179822     3596  4380173 | 51.267 % |
c |    21214        28      215 |   34099   130321   294444 |    58   189822     3598  4380173 | 51.267 % |
c |    21248        28      215 |   34099   130321   294444 |    58   199822     3598  4380173 | 51.267 % |
c |    21278        28      215 |   34099   130321   294444 |    58   209822     3600  4380173 | 51.267 % |
c |    21323        28      215 |   34099   130321   294444 |    58   219822     3603  4380173 | 51.267 % |
c |    21347        28      215 |   34099   130321   294444 |    58   229822     3604  4380173 | 51.267 % |
c |    21413        28      215 |   34099   130321   294444 |    58   239822     3609  4380173 | 51.267 % |
c |    21476        28      215 |   34099   130321   294444 |    58   249822     3610  4380173 | 51.267 % |
c |    21525        28      215 |   34099   130321   294444 |    58   259822     3612  4380173 | 51.267 % |
c |    21590        28      215 |   34099   130321   294444 |    58   269822     3613  4380173 | 51.267 % |
c |    21610        28      215 |   34099   130321   294444 |    58   279822     3613  4380173 | 51.267 % |
c |    21646        28      215 |   34099   130321   294444 |    58   289822     3613  4380173 | 51.267 % |
c |    21682        28      215 |   34099   130321   294444 |    58   299822     3614  4380173 | 51.267 % |
c |    21765        28      215 |   34099   130321   294444 |    59   157626     3615  4532369 | 51.267 % |
c |    21804        28      215 |   34099   130321   294444 |    59   167626     3617  4532369 | 51.267 % |
c |    21868        28      215 |   34099   130321   294444 |    59   177626     3620  4532369 | 51.267 % |
c |    21912        28      215 |   34099   130321   294444 |    59   187626     3621  4532369 | 51.267 % |
c |    21953        28      215 |   34099   130321   294444 |    59   197626     3622  4532369 | 51.267 % |
c |    22045        28      215 |   34099   130321   294444 |    59   207626     3623  4532369 | 51.267 % |
c |    22096        28      214 |   34099   130321   294444 |    59   217626     3628  4532369 | 51.267 % |
c |    22152        28      214 |   34099   130321   294444 |    59   227626     3631  4532369 | 51.267 % |
c |    22198        28      214 |   34099   130321   294444 |    59   237626     3634  4532369 | 51.267 % |
c |    22247        28      214 |   34099   130321   294444 |    59   247626     3636  4532369 | 51.267 % |
c |    22287        28      214 |   34099   130321   294444 |    59   257626     3638  4532369 | 51.267 % |
c |    22349        28      214 |   34099   130321   294444 |    59   267626     3642  4532369 | 51.267 % |
c |    22410        28      214 |   34099   130321   294444 |    59   277626     3644  4532369 | 51.267 % |
c |    22455        28      214 |   34099   130321   294444 |    59   287626     3645  4532369 | 51.267 % |
c |    22487        28      214 |   34099   130321   294444 |    59   297626     3646  4532369 | 51.267 % |
c |    22525        28      214 |   34099   130321   294444 |    59   307626     3648  4532369 | 51.267 % |
c |    22559        28      214 |   34099   130321   294444 |    60   162816     3649  4687179 | 51.267 % |
c |    22606        28      214 |   34099   130321   294444 |    60   172816     3650  4687179 | 51.267 % |
c |    22648        28      215 |   34099   130321   294444 |    60   182816     3652  4687179 | 51.267 % |
c |    22719        28      214 |   34099   130321   294444 |    60   192816     3657  4687179 | 51.267 % |
c |    22738        28      215 |   34099   130321   294444 |    60   202816     3660  4687179 | 51.267 % |
c |    22787        28      215 |   34099   130321   294444 |    60   212816     3664  4687179 | 51.267 % |
c |    22837        28      215 |   34099   130321   294444 |    60   222816     3668  4687179 | 51.267 % |
c |    22895        28      214 |   34099   130321   294444 |    60   232816     3669  4687179 | 51.267 % |
c |    22935        28      214 |   34099   130321   294444 |    60   242816     3670  4687179 | 51.267 % |
c |    22967        28      215 |   34099   130321   294444 |    60   252816     3671  4687179 | 51.267 % |
c |    22988        28      215 |   34099   130321   294444 |    60   262816     3672  4687179 | 51.267 % |
c |    23025        28      215 |   34099   130321   294444 |    60   272816     3675  4687179 | 51.267 % |
c |    23093        28      215 |   34099   130321   294444 |    60   282816     3678  4687179 | 51.267 % |
c |    23157        28      215 |   34099   130321   294444 |    60   292816     3685  4687179 | 51.267 % |
c |    23197        28      215 |   34099   130321   294444 |    60   302816     3686  4687179 | 51.267 % |
c |    23231        28      215 |   34099   130321   294444 |    60   312816     3686  4687179 | 51.267 % |
c |    23252        28      215 |   34099   130321   294444 |    61   165420     3689  4844575 | 51.267 % |
c |    23273        28      215 |   34099   130321   294444 |    61   175420     3691  4844575 | 51.267 % |
c |    23279        28      216 |   34099   130321   294444 |    61   185420     3696  4844575 | 51.267 % |
c |    23346        28      215 |   34099   130321   294444 |    61   195420     3698  4844575 | 51.267 % |
c |    23393        29      215 |   34099   130321   294444 |    61   205420     3704  4844575 | 51.267 % |
c |    23443        29      215 |   34099   130321   294444 |    61   215420     3704  4844575 | 51.267 % |
c |    23485        29      215 |   34099   130321   294444 |    61   225420     3704  4844575 | 51.267 % |
c |    23530        29      215 |   34099   130321   294444 |    61   235420     3706  4844575 | 51.267 % |
c |    23551        29      216 |   34099   130321   294444 |    61   245420     3709  4844575 | 51.267 % |
c |    23608        29      216 |   34099   130321   294444 |    61   255420     3711  4844575 | 51.267 % |
c |    23668        29      215 |   34099   130321   294444 |    61   265420     3711  4844575 | 51.267 % |
c |    23675        29      216 |   34099   130321   294444 |    61   275420     3716  4844575 | 51.267 % |
c |    23703        29      216 |   34099   130321   294444 |    61   285420     3717  4844575 | 51.267 % |
c |    23776        29      216 |   34099   130321   294444 |    61   295420     3720  4844575 | 51.267 % |
c |    23811        29      216 |   34099   130321   294444 |    61   305420     3721  4844575 | 51.267 % |
c |    23816        29      216 |   34099   130321   294444 |    61   315420     3723  4844575 | 51.267 % |
c |    23868        29      216 |   34099   130321   294444 |    62   165421     3726  5004574 | 51.267 % |
c |    23904        29      216 |   34099   130321   294444 |    62   175421     3729  5004574 | 51.267 % |
c |    23923        30      216 |   34099   130321   294444 |    62   185421     3732  5004574 | 51.267 % |
c |    23963        30      217 |   34099   130321   294444 |    62   195421     3734  5004574 | 51.267 % |
c |    24019        30      216 |   34099   130321   294444 |    62   205421     3735  5004574 | 51.267 % |
c |    24055        30      217 |   34099   130321   294444 |    62   215421     3738  5004574 | 51.267 % |
c |    24077        30      217 |   34099   130321   294444 |    62   225421     3740  5004574 | 51.267 % |
c |    24126        30      217 |   34099   130321   294444 |    62   235421     3742  5004574 | 51.267 % |
c |    24192        30      217 |   34099   130321   294444 |    62   245421     3743  5004574 | 51.267 % |
c |    24215        30      217 |   34099   130321   294444 |    62   255421     3745  5004574 | 51.267 % |
c |    24288        30      216 |   34099   130321   294444 |    62   265421     3749  5004574 | 51.267 % |
c |    24331        30      217 |   34099   130321   294444 |    62   275421     3754  5004574 | 51.267 % |
c |    24379        30      216 |   34099   130321   294444 |    62   285421     3754  5004574 | 51.267 % |
c |    24450        30      216 |   34099   130321   294444 |    62   295421     3754  5004574 | 51.267 % |
c |    24505        30      216 |   34099   130321   294444 |    62   305421     3756  5004574 | 51.267 % |
c |    24565        30      216 |   34099   130321   294444 |    62   315421     3758  5004574 | 51.267 % |
c |    24628        30      216 |   34099   130321   294444 |    63   162822     3762  5167173 | 51.267 % |
c |    24681        30      216 |   34099   130321   294444 |    63   172822     3765  5167173 | 51.267 % |
c |    24735        30      216 |   34099   130321   294444 |    63   182822     3766  5167173 | 51.267 % |
c |    24761        30      216 |   34099   130321   294444 |    63   192822     3768  5167173 | 51.267 % |
c |    24778        30      216 |   34099   130321   294444 |    63   202822     3768  5167173 | 51.267 % |
c |    24831        30      216 |   34099   130321   294444 |    63   212822     3768  5167173 | 51.267 % |
c |    24874        30      216 |   34099   130321   294444 |    63   222822     3779  5167173 | 51.267 % |
c |    24935        30      216 |   34099   130321   294444 |    63   232822     3779  5167173 | 51.267 % |
c |    24976        30      216 |   34099   130321   294444 |    63   242822     3781  5167173 | 51.267 % |
c |    25015        30      216 |   34099   130321   294444 |    63   252822     3785  5167173 | 51.267 % |
c |    25073        30      216 |   34099   130321   294444 |    63   262822     3786  5167173 | 51.267 % |
c |    25123        30      216 |   34099   130321   294444 |    63   272822     3787  5167173 | 51.267 % |
c |    25162        30      216 |   34099   130321   294444 |    63   282822     3790  5167173 | 51.267 % |
c |    25214        30      216 |   34099   130321   294444 |    63   292822     3798  5167173 | 51.267 % |
c |    25282        30      216 |   34099   130321   294444 |    63   302822     3801  5167173 | 51.267 % |
c |    25318        30      216 |   34099   130321   294444 |    63   312822     3802  5167173 | 51.267 % |
c |    25370        30      216 |   34099   130321   294444 |    63   322822     3805  5167173 | 51.267 % |
c |    25404        30      216 |   34099   130321   294444 |    64   167630     3808  5332365 | 51.267 % |
c |    25464        30      216 |   34099   130321   294444 |    64   177630     3809  5332365 | 51.267 % |
c |    25532        30      216 |   34099   130321   294444 |    64   187630     3810  5332365 | 51.267 % |
c |    25574        30      216 |   34099   130321   294444 |    64   197630     3814  5332365 | 51.267 % |
c |    25614        30      216 |   34099   130321   294444 |    64   207630     3816  5332365 | 51.267 % |
c |    25649        30      216 |   34099   130321   294444 |    64   217630     3817  5332365 | 51.267 % |
c |    25693        30      216 |   34099   130321   294444 |    64   227630     3818  5332365 | 51.267 % |
c |    25738        30      216 |   34099   130321   294444 |    64   237630     3819  5332365 | 51.267 % |
c |    25786        30      216 |   34099   130321   294444 |    64   247630     3825  5332365 | 51.267 % |
c |    25828        30      216 |   34099   130321   294444 |    64   257630     3825  5332365 | 51.267 % |
c |    25858        30      216 |   34099   130321   294444 |    64   267630     3827  5332365 | 51.267 % |
c |    25892        30      216 |   34099   130321   294444 |    64   277630     3831  5332365 | 51.267 % |
c |    25955        30      216 |   34099   130321   294444 |    64   287630     3832  5332365 | 51.267 % |
c |    26015        30      216 |   34099   130321   294444 |    64   297630     3833  5332365 | 51.267 % |
c |    26068        30      216 |   34099   130321   294444 |    64   307630     3835  5332365 | 51.267 % |
c |    26121        30      216 |   34099   130321   294444 |    64   317630     3838  5332365 | 51.267 % |
c |    26186        30      216 |   34099   130321   294444 |    64   327630     3838  5332365 | 51.267 % |
c |    26259        30      215 |   34099   130321   294444 |    65   169844     3842  5500151 | 51.267 % |
c |    26274        30      216 |   34099   130321   294444 |    65   179844     3843  5500151 | 51.267 % |
c |    26316        30      216 |   34099   130321   294444 |    65   189844     3846  5500151 | 51.267 % |
c |    26347        30      216 |   34099   130321   294444 |    65   199844     3850  5500151 | 51.267 % |
c |    26388        30      216 |   34099   130321   294444 |    65   209844     3855  5500151 | 51.267 % |
c |    26415        30      216 |   34099   130321   294444 |    65   219844     3856  5500151 | 51.267 % |
c |    26446        30      216 |   34099   130321   294444 |    65   229844     3856  5500151 | 51.267 % |
c |    26475        30      216 |   34099   130321   294444 |    65   239844     3858  5500151 | 51.267 % |
c |    26514        30      216 |   34099   130321   294444 |    65   249844     3863  5500151 | 51.267 % |
c |    26526        30      217 |   34099   130321   294444 |    65   259844     3863  5500151 | 51.267 % |
c |    26599        30      216 |   34099   130321   294444 |    65   269844     3865  5500151 | 51.267 % |
c |    26676        30      216 |   34099   130321   294444 |    65   279844     3867  5500151 | 51.267 % |
c |    26744        30      216 |   34099   130321   294444 |    65   289844     3868  5500151 | 51.267 % |
c |    26800        30      216 |   34099   130321   294444 |    65   299844     3870  5500151 | 51.267 % |
c |    26827        30      216 |   34099   130321   294444 |    65   309844     3873  5500151 | 51.267 % |
c |    26838        30      216 |   34099   130321   294444 |    65   319844     3873  5500151 | 51.267 % |
c |    26909        30      216 |   34099   130321   294444 |    65   329844     3873  5500151 | 51.267 % |
c |    26942        30      216 |   34099   130321   294444 |    65   339844     3877  5500151 | 51.267 % |
c |    27002        32      216 |   34099   130321   294444 |    66   179447     3880  5670548 | 51.267 % |
c |    27045        32      216 |   34099   130321   294444 |    66   189447     3884  5670548 | 51.267 % |
c |    27069        32      216 |   34099   130321   294444 |    66   199447     3885  5670548 | 51.267 % |
c |    27099        32      216 |   34099   130321   294444 |    66   209447     3888  5670548 | 51.267 % |
c |    27140        32      217 |   34099   130321   294444 |    66   219447     3890  5670548 | 51.267 % |
c |    27168        32      217 |   34099   130321   294444 |    66   229447     3891  5670548 | 51.267 % |
c |    27219        32      217 |   34099   130321   294444 |    66   239447     3892  5670548 | 51.267 % |
c |    27263        32      217 |   34099   130321   294444 |    66   249447     3893  5670548 | 51.267 % |
c |    27291        32      217 |   34099   130321   294444 |    66   259447     3893  5670548 | 51.267 % |
c |    27351        32      217 |   34099   130321   294444 |    66   269447     3894  5670548 | 51.267 % |
c |    27413        32      217 |   34099   130321   294444 |    66   279447     3899  5670548 | 51.267 % |
c |    27442        32      217 |   34099   130321   294444 |    66   289447     3899  5670548 | 51.267 % |
c |    27470        33      217 |   34099   130321   294444 |    66   299447     3899  5670548 | 51.267 % |
c |    27503        33      217 |   34099   130321   294444 |    66   309447     3901  5670548 | 51.267 % |
c |    27575        33      217 |   34099   130321   294444 |    66   319447     3902  5670548 | 51.267 % |
c |    27605        33      217 |   34099   130321   294444 |    66   329447     3903  5670548 | 51.267 % |
c |    27638        33      217 |   34099   130321   294444 |    66   339447     3904  5670548 | 51.267 % |
c |    27664        33      217 |   34099   130321   294444 |    67   176430     3907  5843565 | 51.267 % |
c |    27700        33      217 |   34099   130321   294444 |    67   186430     3912  5843565 | 51.267 % |
c |    27757        34      217 |   34099   130321   294444 |    67   196430     3913  5843565 | 51.267 % |
c |    27835        34      217 |   34099   130321   294444 |    67   206430     3916  5843565 | 51.267 % |
c |    27878        34      217 |   34099   130321   294444 |    67   216430     3921  5843565 | 51.267 % |
c |    27910        34      217 |   34099   130321   294444 |    67   226430     3925  5843565 | 51.267 % |
c |    27968        34      217 |   34099   130321   294444 |    67   236430     3925  5843565 | 51.267 % |
c |    28020        34      217 |   34099   130321   294444 |    67   246430     3927  5843565 | 51.267 % |
c |    28081        34      217 |   34099   130321   294444 |    67   256430     3929  5843565 | 51.267 % |
c |    28133        34      217 |   34099   130321   294444 |    67   266430     3929  5843565 | 51.267 % |
c |    28174        34      217 |   34099   130321   294444 |    67   276430     3936  5843565 | 51.267 % |
c |    28203        34      217 |   34099   130321   294444 |    67   286430     3938  5843565 | 51.267 % |
c |    28220        34      217 |   34099   130321   294444 |    67   296430     3942  5843565 | 51.267 % |
c |    28234        34      217 |   34099   130321   294444 |    67   306430     3942  5843565 | 51.267 % |
c |    28244        34      218 |   34099   130321   294444 |    67   316430     3943  5843565 | 51.267 % |
c |    28290        34      218 |   34099   130321   294444 |    67   326430     3944  5843565 | 51.267 % |
c |    28302        34      218 |   34099   130321   294444 |    67   336430     3950  5843565 | 51.267 % |
c |    28368        35      218 |   34099   130321   294444 |    67   346430     3953  5843565 | 51.267 % |
c |    28443        35      217 |   34099   130321   294444 |    68   180826     3956  6019169 | 51.267 % |
c |    28481        35      218 |   34099   130321   294444 |    68   190826     3956  6019169 | 51.267 % |
c |    28514        35      218 |   34099   130321   294444 |    68   200826     3958  6019169 | 51.267 % |
c |    28559        36      218 |   34099   130321   294444 |    68   210826     3958  6019169 | 51.267 % |
c |    28591        36      218 |   34099   130321   294444 |    68   220826     3959  6019169 | 51.267 % |
c |    28656        36      218 |   34099   130321   294444 |    68   230826     3959  6019169 | 51.267 % |
c |    28697        36      218 |   34099   130321   294444 |    68   240826     3961  6019169 | 51.267 % |
c |    28709        36      218 |   34099   130321   294444 |    68   250826     3962  6019169 | 51.267 % |
c |    28722        36      218 |   34099   130321   294444 |    68   260826     3962  6019169 | 51.267 % |
c |    28772        36      218 |   34099   130321   294444 |    68   270826     3963  6019169 | 51.267 % |
c |    28789        37      218 |   34099   130321   294444 |    68   280826     3966  6019169 | 51.267 % |
c |    28826        37      218 |   34099   130321   294444 |    68   290826     3969  6019169 | 51.267 % |
c |    28874        37      218 |   34099   130321   294444 |    68   300826     3969  6019169 | 51.267 % |
c |    28888        37      219 |   34099   130321   294444 |    68   310826     3971  6019169 | 51.267 % |
c |    28912        37      219 |   34099   130321   294444 |    68   320826     3972  6019169 | 51.267 % |
c |    28950        37      219 |   34099   130321   294444 |    68   330826     3973  6019169 | 51.267 % |
c |    28997        38      219 |   34099   130321   294444 |    68   340826     3977  6019169 | 51.267 % |
c |    29059        38      219 |   34099   130321   294444 |    68   350826     3977  6019169 | 51.267 % |
c |    29103        38      219 |   34099   130321   294444 |    69   182625     3977  6197370 | 51.267 % |
c |    29152        38      219 |   34099   130321   294444 |    69   192625     3978  6197370 | 51.267 % |
c |    29215        38      219 |   34099   130321   294444 |    69   202625     3980  6197370 | 51.267 % |
c |    29260        38      219 |   34099   130321   294444 |    69   212625     3981  6197370 | 51.267 % |
c |    29286        38      219 |   34099   130321   294444 |    69   222625     3981  6197370 | 51.267 % |
c |    29311        38      219 |   34099   130321   294444 |    69   232625     3982  6197370 | 51.267 % |
c |    29360        38      219 |   34099   130321   294444 |    69   242625     3983  6197370 | 51.267 % |
c |    29400        38      219 |   34099   130321   294444 |    69   252625     3983  6197370 | 51.267 % |
c |    29424        38      219 |   34099   130321   294444 |    69   262625     3984  6197370 | 51.267 % |
c |    29460        38      219 |   34099   130321   294444 |    69   272625     3988  6197370 | 51.267 % |
c |    29497        39      219 |   34099   130321   294444 |    69   282625     3992  6197370 | 51.267 % |
c |    29530        39      219 |   34099   130321   294444 |    69   292625     3993  6197370 | 51.267 % |
c |    29572        39      219 |   34099   130321   294444 |    69   302625     3997  6197370 | 51.267 % |
c |    29615        39      219 |   34099   130321   294444 |    69   312625     3998  6197370 | 51.267 % |
c |    29665        39      219 |   34099   130321   294444 |    69   322625     4000  6197370 | 51.267 % |
c |    29715        39      219 |   34099   130321   294444 |    69   332625     4001  6197370 | 51.267 % |
c |    29747        39      219 |   34099   130321   294444 |    69   342625     4001  6197370 | 51.267 % |
c |    29824        39      219 |   34099   130321   294444 |    69   352625     4004  6197370 | 51.267 % |
c |    29874        39      219 |   34099   130321   294444 |    70   181821     4009  6378174 | 51.267 % |
c |    29886        39      219 |   34099   130321   294444 |    70   191821     4012  6378174 | 51.267 % |
c |    29927        39      219 |   34099   130321   294444 |    70   201821     4014  6378174 | 51.267 % |
c |    29989        39      219 |   34099   130321   294444 |    70   211821     4015  6378174 | 51.267 % |
c |    30030        39      219 |   34099   130321   294444 |    70   221821     4019  6378174 | 51.267 % |
c |    30088        39      219 |   34099   130321   294444 |    70   231821     4019  6378174 | 51.267 % |
c |    30130        39      219 |   34099   130321   294444 |    70   241821     4020  6378174 | 51.267 % |
c |    30167        39      219 |   34099   130321   294444 |    70   251821     4025  6378174 | 51.267 % |
c |    30186        39      219 |   34099   130321   294444 |    70   261821     4028  6378174 | 51.267 % |
c |    30209        39      220 |   34099   130321   294444 |    70   271821     4028  6378174 | 51.267 % |
c |    30217        40      220 |   34099   130321   294444 |    70   281821     4032  6378174 | 51.267 % |
c |    30252        40      220 |   34099   130321   294444 |    70   291821     4033  6378174 | 51.267 % |
c |    30320        40      220 |   34099   130321   294444 |    70   301821     4033  6378174 | 51.267 % |
c |    30371        40      220 |   34099   130321   294444 |    70   311821     4034  6378174 | 51.267 % |
c |    30411        40      220 |   34099   130321   294444 |    70   321821     4036  6378174 | 51.267 % |
c |    30471        40      220 |   34099   130321   294444 |    70   331821     4037  6378174 | 51.267 % |
c |    30520        40      220 |   34099   130321   294444 |    70   341821     4037  6378174 | 51.267 % |
c |    30532        40      220 |   34099   130321   294444 |    70   351821     4040  6378174 | 51.267 % |
c |    30558        40      220 |   34099   130321   294444 |    70   361821     4042  6378174 | 51.267 % |
c |    30590        40      220 |   34099   130321   294444 |    71   188435     4042  6561560 | 51.267 % |
c |    30625        40      220 |   34099   130321   294444 |    71   198435     4042  6561560 | 51.267 % |
c |    30668        40      220 |   34099   130321   294444 |    71   208435     4046  6561560 | 51.267 % |
c |    30728        40      220 |   34099   130321   294444 |    71   218435     4047  6561560 | 51.267 % |
c |    30746        40      220 |   34099   130321   294444 |    71   228435     4048  6561560 | 51.267 % |
c |    30774        40      220 |   34099   130321   294444 |    71   238435     4048  6561560 | 51.267 % |
c |    30804        40      221 |   34099   130321   294444 |    71   248435     4050  6561560 | 51.267 % |
c |    30844        40      221 |   34099   130321   294444 |    71   258435     4052  6561560 | 51.267 % |
c |    30869        40      221 |   34099   130321   294444 |    71   268435     4055  6561560 | 51.267 % |
c |    30901        40      221 |   34099   130321   294444 |    71   278435     4058  6561560 | 51.267 % |
c |    30932        40      221 |   34099   130321   294444 |    71   288435     4062  6561560 | 51.267 % |
c |    30973        40      221 |   34099   130321   294444 |    71   298435     4066  6561560 | 51.267 % |
c |    31017        40      221 |   34099   130321   294444 |    71   308435     4066  6561560 | 51.267 % |
c |    31061        40      221 |   34099   130321   294444 |    71   318435     4067  6561560 | 51.267 % |
c |    31102        40      221 |   34099   130321   294444 |    71   328435     4067  6561560 | 51.267 % |
c |    31132        40      221 |   34099   130321   294444 |    71   338435     4068  6561560 | 51.267 % |
c |    31165        40      221 |   34099   130321   294444 |    71   348435     4068  6561560 | 51.267 % |
c |    31208        40      221 |   34099   130321   294444 |    71   358435     4070  6561560 | 51.267 % |
c |    31258        40      221 |   34099   130321   294444 |    71   368435     4072  6561560 | 51.267 % |
c |    31302        40      221 |   34099   130321   294444 |    72   192437     4075  6747558 | 51.267 % |
c |    31327        40      221 |   34099   130321   294444 |    72   202437     4076  6747558 | 51.267 % |
c |    31350        40      222 |   34099   130321   294444 |    72   212437     4076  6747558 | 51.267 % |
c |    31402        40      221 |   34099   130321   294444 |    72   222437     4076  6747558 | 51.267 % |
c |    31432        40      222 |   34099   130321   294444 |    72   232437     4079  6747558 | 51.267 % |
c |    31493        40      221 |   34099   130321   294444 |    72   242437     4079  6747558 | 51.267 % |
c |    31520        40      222 |   34099   130321   294444 |    72   252437     4081  6747558 | 51.267 % |
c |    31564        40      222 |   34099   130321   294444 |    72   262437     4082  6747558 | 51.267 % |
c |    31611        40      222 |   34099   130321   294444 |    72   272437     4083  6747558 | 51.267 % |
c |    31647        40      222 |   34099   130321   294444 |    72   282437     4084  6747558 | 51.267 % |
c |    31674        40      222 |   34099   130321   294444 |    72   292437     4086  6747558 | 51.267 % |
c |    31705        40      222 |   34099   130321   294444 |    72   302437     4087  6747558 | 51.267 % |
c |    31723        40      222 |   34099   130321   294444 |    72   312437     4091  6747558 | 51.267 % |
c |    31757        40      222 |   34099   130321   294444 |    72   322437     4094  6747558 | 51.267 % |
c |    31799        40      222 |   34099   130321   294444 |    72   332437     4099  6747558 | 51.267 % |
c |    31866        40      222 |   34099   130321   294444 |    72   342437     4104  6747558 | 51.267 % |
c |    31940        40      222 |   34099   130321   294444 |    72   352437     4106  6747558 | 51.267 % |
c |    31970        40      222 |   34099   130321   294444 |    72   362437     4108  6747558 | 51.267 % |
c |    32002        40      222 |   34099   130321   294444 |    72   372437     4110  6747558 | 51.267 % |
c |    32047        40      222 |   34099   130321   294444 |    73   193837     4112  6936158 | 51.267 % |
c |    32075        40      222 |   34099   130321   294444 |    73   203837     4112  6936158 | 51.267 % |
c |    32114        40      222 |   34099   130321   294444 |    73   213837     4112  6936158 | 51.267 % |
c |    32118        40      222 |   34099   130321   294444 |    73   223837     4114  6936158 | 51.267 % |
c |    32158        40      222 |   34099   130321   294444 |    73   233837     4117  6936158 | 51.267 % |
c |    32209        40      222 |   34099   130321   294444 |    73   243837     4117  6936158 | 51.267 % |
c |    32239        40      223 |   34099   130321   294444 |    73   253837     4122  6936158 | 51.267 % |
c |    32278        40      223 |   34099   130321   294444 |    73   263837     4127  6936158 | 51.267 % |
c |    32295        40      223 |   34099   130321   294444 |    73   273837     4127  6936158 | 51.267 % |
c |    32315        40      223 |   34099   130321   294444 |    73   283837     4133  6936158 | 51.267 % |
c |    32379        40      223 |   34099   130321   294444 |    73   293837     4134  6936158 | 51.267 % |
c |    32423        40      223 |   34099   130321   294444 |    73   303837     4136  6936158 | 51.267 % |
